"Unnamed: 0" Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal "r - i" "r - J0660" "e(r - i)" "e(r - J0660)" "Unnamed: 0.1"
21712 SPLUS-s03s05 iDR3.SPLUS-s03s05.040546 330.5388749847869 -2.0097191021677627 17.118303 757 2.7668513999999997 12.0 0 23.310904 23.031225 18.214845999999998 17.42765 16.668136999999998 16.550383 14.9585905 15.169159 13.078664999999999 14.211617000000002 12.882533 12.874711999999999 1.4336061000000002 1.6920118000000002 0.046342827 0.025772905 0.016235175 0.0072820773 0.006493633 0.0028284309 0.0012152003 0.0018240481 0.0015611210999999998 0.0011082239999999999 0.9575419999999983 2.0904940000000014 0.0033655865502447593 0.0030784303021499284 ""
188941 HYDRA-0065 iDR3.HYDRA-0065.000118 159.9566993632784 -31.55664700403079 10.633800500000001 289 3.2670162 12.0 0 21.238148000000002 19.03465 17.77413 17.157593 16.909492 16.319110000000002 17.50338 16.50874 15.187512 14.953944 15.069479000000001 15.059187 0.24603229999999998 0.07921133 0.026467052999999997 0.015981972 0.013105461 0.0055863084 0.022503733999999997 0.005859294399999999 0.003588432 0.0029386198 0.0050118426 0.0037377195 1.5547959999999996 1.3212279999999996 0.0065549078708112595 0.00687082055394371 ""
503731 HYDRA-0127 iDR3.HYDRA-0127.000745 162.65716232137473 -41.187267548973885 11.319782 348 3.3276540999999997 7.0 2 99.0 99.0 99.0 99.0 27.956265999999996 26.390759999999997 99.0 17.022717 15.527384 16.740883 15.204410999999999 15.09314 22.571629 22.05855 21.451979 21.574701 156.02792 11.864286 21.883707 0.006200888000000001 0.0034799776 0.0057769909999999996 0.004612937 0.0031941753999999998 0.2818339999999999 1.4953330000000005 0.008474941710868872 0.007110643858684372 ""
9230 SPLUS-s20s35 iDR3.SPLUS-s20s35.036033 334.3402331351376 -24.88095342223036 13.533273000000001 138 3.3289470000000003 12.0 2 17.651598 17.31985 17.500675 17.691534 16.756874 18.281862 17.392595 17.493076000000002 15.838176999999998 15.883977999999999 15.678532 15.685362 0.013715086000000001 0.01730822 0.029390742999999997 0.03099944 0.017918548 0.016495546 0.019966673 0.009076104 0.0044770692 0.0041579786 0.00693735 0.0050221816999999995 1.609098000000003 1.654899000000004 0.009983208394943679 0.010120267409530473 ""
110315 SPLUS-s28s48 iDR3.SPLUS-s28s48.000391 317.0396898099512 -36.901148177792564 29.599075 544 3.4659317 12.0 2 16.88543 16.524283999999998 16.672104 16.816679999999998 16.70961 15.73432 17.166714000000002 16.113297 14.726984 16.667332000000002 15.258479999999999 15.179170999999998 0.0098468205 0.011658231000000002 0.018107334 0.017382853 0.016159937 0.0040633488 0.016287053 0.0042429026 0.0027420437 0.0072543419999999996 0.005767621999999999 0.0043223524 -0.5540350000000025 1.3863129999999995 0.008404028815160664 0.005051833936878414 ""
203995 SPLUS-n18s10 iDR3.SPLUS-n18s10.000071 163.75072930133163 -23.62601103679027 8.819875999999999 215 3.5384822 12.0 2 22.85855 21.199963 20.603113 19.581635000000002 19.592012 17.236967 17.85397 17.365276 15.96214 16.062754 15.597570000000001 16.004332 0.9904171999999999 0.29435915 0.29287870000000005 0.10653894400000001 0.09895119 0.008694526 0.02523898 0.00911825 0.004934822 0.004839394 0.0066803037 0.006272528 1.3025219999999997 1.4031360000000017 0.01032289772058873 0.010367977200697539 ""
115925 SPLUS-n12s34 iDR3.SPLUS-n12s34.000018 196.96377110056733 -15.585766592627742 16.584972 116 3.8958654000000004 10.0 2 27.805725 99.0 99.0 24.214575 20.872513 18.667175 20.443398000000002 16.944118 15.698020999999999 16.941471 15.112184 15.297144 196.72249 20.780924 20.322062 18.001547 0.79506665 0.048615877 0.44502118 0.010227059 0.0050442433 0.010610102 0.0055204523 0.0045583155 0.002646999999999622 1.2460970000000007 0.014736587129993328 0.011403382228929972 ""
17464 SPLUS-s37s44 iDR3.SPLUS-s37s44.000023 324.91439167322807 -48.68200182534816 10.428048 168 3.2141051 12.0 0 16.801247 16.569069 19.084248000000002 18.549395 17.282478 15.883052 18.030079999999998 16.6523 15.003366 16.775204000000002 14.917456 15.371191 0.013342083000000001 0.012931557 0.08142543599999999 0.04958352 0.021575775 0.0044199424 0.027790159 0.0057756807999999995 0.0031388833 0.0071661547 0.0059295516 0.004203541 -0.1229040000000019 1.6489340000000006 0.00920392643863589 0.006573513297659595 ""
144502 HYDRA-0028 iDR3.HYDRA-0028.000437 162.63285655382037 -26.001474646433373 10.890665 95 4.4916205 11.0 0 21.60846 21.924232 99.0 20.743378 22.107494 19.43743 20.095772 19.417421 17.1305 17.469341 16.753456 17.16056 0.31934884 0.6412256 21.179955 0.29960072 0.98503846 0.03641809 0.12914567 0.03541243 0.008444956 0.010475219000000001 0.012996841 0.013584003999999998 1.948080000000001 2.2869209999999995 0.03692926226724359 0.036405459485451305 ""
328585 HYDRA-0054 iDR3.HYDRA-0054.000525 158.89229287014442 -30.16260472902169 14.141342999999999 83 3.7300377 12.0 2 19.5406 19.176826000000002 19.786873 19.474226 20.57953 18.260983 19.337677 19.439632 17.350683 19.226854 17.109318 17.847996 0.026355102999999998 0.030077316 0.07577804 0.049654975999999997 0.11688725 0.008144131 0.03474386 0.017590681 0.0052559090000000004 0.020261355 0.008730093000000001 0.011994014499999999 0.21277800000000013 2.0889489999999995 0.026831969075708666 0.01835910230539723 ""
